fish,물고기|어류|생선|고기잡이하다|어업의
port,항만|항구|포트|...항
boat,배|보트
beach,해변|바닷가|해수욕장|백사장|호숫가
warship,군함|전함
shellfish,조개|갑각강의 동물|거북복
turtle,거북|자라
island,도|섬|아일랜드
ocean,바다|해양|대양
dolphin,돌고래
whale,고래|즐거운|열심인
shrimp,작은 새우|작은 새우를 잡다|작은 새우로 만든
lobster,바닷가재|랍스터|얼굴이 붉은 사람
railroad,철도
cabin,객실|오두막
forest,숲|산림|삼림
Give me a break!,
I see.,
that’s why!,
get in touch with,
a lot of,
keep your chin up,
lake,호수|연못
be absent from,
tone deaf,
school time,
head down,
have~ in common,
satisfy with,
be nervous about,
just a little,"살짝, 조금만"
stay in touch,"계속 연락하고 지내다, 소식을 주고받다"
seem like,…처럼 보이다.
wedding preparation,결혼 준비
lose weight,몸무게를 줄이다
have a headache,두통이 있다
worry about,…에 대한 걱정. 
make an appointment,"임명하다, 만날 약속을 하다"
seem to,…할 모양이다
have a pain in,아프다
in deep thought,[깊은] 생각에 잠겨. 
tug of war,줄다리기|세력 싸움|쟁탈전
golf,골프
volleyball,배구
marathon,마라톤
football,축구|미식 축구|풋볼
soccer,축구|사커
basketball,농구
baseball,야구|베이스볼
law maker,국회의원
election,선거|투표|당선|선정|선택
stomachache,복통|배가 아프다|배탈
headache,두통|골칫거리|두통거리
toothache,치통
oyster,굴|과묵한 사람
eagle,독수리|이글
flexible,유연한|신축성 있는|융통성 있는|탄력적인|적응성 있는
be on sick leave,"병가 중이다, 병으로 결근하다"
for a while,"잠깐, 잠시 동안 "
take a message,메시지를 남기다
sign the contract,계약서에 서명하다
get paid,돈을 지불 받다
make up on-e’s mind,"결심하다, 결단을 내리다 "
get worked up about,속상해하다
do on-e’s best,전력[최선]을 다하다 
for a minute,"잠시, 잠깐"
working conditions,노동[근무] 조건. 
have a fight,싸움을 하다
familiar with,…을 잘 알고 있는
You can say,…라고 해도 좋다
be swamped with,"정신 못차리다, 압도 당하다, 꼼짝달싹 못하다"
learn about,…에 대해 배우다. 
be able to,국제 결혼
international marriage,국제 결혼
think the same way,같은 생각이다
talk a person into,…을 설득하여 …시키다[…을 단념시키다] 
be different from,…와 다르다
blow on-e’s nose,코를 풀다 
make a sound,소리를 내다
read a newspaper,신문을 읽다
on the internet,인터넷 상에서
plan to,~할 계획하다
camera-shy,사진 찍히기 싫어하는  
fat­-free milk,무지방 우유
a bowl of rice,
a piece of fruit,
perfectist,완벽주의자
all day,"종일의, 하루 종일 걸리는"
at that time,그때는
be busy with,"~으로 바쁘다, ~에 발목잡히다"
based on,"…을 바탕으로,…을 근거하여"
be worthy of,~할만 하다
be capable of,"~이 가능하다, ~할 수 있다."
capitalize on,"~을 이용하다, 틈타다."
consist of,…으로 구성되다. 
contribute to,"~에 기부하다, 기여하다; ~의 원인이 되다."
cost-effective,"비용효과적인, 비용효율이 높은"
take a look at,"~을 보다, 관찰하다."
take a picture,사진을 찍다
all at on-ce,"갑자기, 다 한꺼번에"
write to,…에게[편지 등을] 쓰다
shake hands,"악수, 악수하다[with ‥]"
all day,"종일의, 하루 종일 걸리는"
in fact,"사실상, 사실은,사실에 있어서"
lots of,많은
be interested in,…흥미를 갖고 있다
worry about,…에 대한 걱정
a leave of absence,
Individually,"개인으로, 개별적으로"
call,부르다|라는|전화하다|말하다|요구하다
president,대통령|사장|회장|총장|위원장
ancient,고대의|오래된|옛날의
aim,목표|목적|겨냥하다|노리다|조준하다
propose,제안하다|제시하다|제의하다|청혼하다|신청하다
cheer up,cause to feel happier or more cheerful
think about,"have on one's mind, think about actively"
be born,come into existence through birth
look like,bear a physical resemblance to
care for,"have a liking, fondness, or taste"
yell at,…에게 호통치다
How are you?,안녕하십니까?
Long time no see.,[구어] 오랜만입니다.
called,[서술형용사] [이름이] …라고 불리는
in the hospital,영 입원[퇴원]하여
How often … ?,"몇 차례나, 몇 번이나"
go well,"잘 가, 안녕히 가세요. [작별의 말]"
drive a person nuts,"…을 신경질나게 하다, 미칠 지경이 되게 하다"
be tolerant of,"…을 견뎌 내다, …을 관용하다"
be full of,"…에 몰두하고 있다; …투성이다, …이 많다, 가득 차다"
be aware of,"…을 알아채다, …을 알다"
excuse me,실례합니다|잠깐만요|죄송합니다|저기요|여보세요
here,여기|이곳|이쪽|저기
designer,디자이너|설계자
different,다른|여러 가지의|종류|별개의|독특한
funny,재미있는|웃기는|이상한|농담조의|유쾌한
spot,장소|발견하다|점|관광지|위
prescription,처방
break out,발생하다|일어나다|벗어나다|탈출하다|탈옥하다
release,발표하다|개봉하다|발매하다|공개하다|출시하다
catch a cold,"=take a cold 감기 들다, 감기 걸리다"
had better+동사원형,‘~하는 편이 낫다.’라는 표현입니다.
I will be seeing you.,"또 만나요, 다음에 봐요."
a little,
It’s up to you,당신에게 달려 있습니다. 
next week,다음 주
Why don’t you+동사원형,‘~하지 그래요?’라는 제안의 표현입니다.
thanks for,~에 대해 감사하다. 고마워하다.
knowledge,지식|아는 것|인지|학식
popular,인기 있는|대중의|유명한|국민의
circle,원|서클|돌다|그룹|사회
usage,사용|활용|실태|용법|양상
useful,유용한|쓸모 있는|도움이 되는|유익한|실용적인
conditional,조건부의
honor,명예|영광|경의|수여하다|지키다
carry out,수행하다|이행하다|실시하다|실행하다|실천하다
particularly,특히|특별하게
indication,표시|가리키는|징후
casualty,사상자|희생자|피해자|부상자
rewarding,가치가 있는|보람이 있는|보람있는
allocate,할당하다|배분하다|책정하다
redeem,구하다|상환하다|만회하다|보상|교환
religious,종교의|신앙의|독실한
rapid,급속한|빠른|신속한|급격한|가파른
rainy,비가 오는
precious,소중한|귀중한|중요한|귀여운
polite,예의 바른|공손한|정중한
peaceful,평화적인|평화로운|편안한
other,다른|기타의|타인|나머지의|반면에
noble,고귀한|귀족의|값비싼|기품
native,원주민의|태생의|토착의|토박이의|고유한
main,주된|주요한|중심적인|메인|주로 쓰이는
low,낮은|저|최저의|적은|떨어지는
flat,납작한|평면|아파트|변동 없는|시시한
fair,공정한|공평한|박람회|전시회|페어의
extreme,극단적인|극심한|극도의|지나친|과격한
excited,흥분한|신이 난|들뜨다|흥미로운|기대하는
empty,빈|비우다|없는|공허한|무의미한
direct,직접의|감독하다|연출하다|지시하다
safe,안전한|무사한|금고|세이프의|신중한
dangerous,위험한
vegetable,야채|식물
vase,꽃병|항아리
universe,우주|세계
type,유형|종류|양식|타입|타자
triumph,승리|이기다|성공|업적|수상
trick,속이다|묘기|재주|요령|장난
spirit,정신|영혼|사람|유령|마음
spade,스페이드|삽
solution,해결책|방안|용액|해법|솔루션
snake,뱀|독사|스네이크|구렁이|구불구불
slave,노예 제도의|노예|혹사당하다
situation,상황|사태|상태|경우|입장
site,사이트|현장|유적지|장소|부지
silk,실크|비단
purpose,목적|목표|의도|용도|명분
pumpkin,호박
pulse,맥박|파동
pronunciation,발음
problem,문제|과제|고민|의문|골칫거리
pressure,압력|압박|부담|스트레스|기압
praise,칭찬하다|찬사|높이 평가하다|칭송하다|자찬
position,위치|입장|지위|자리|자세
magazine,잡지|지|매거진|무기고
log,접속하다|벌채하다|통나무|기록하다
lock,잠그다|갇히다|고정시키다|자물쇠|닫다
load,무게|로딩|싣다|장전하다|짐
limit,제한|한계|한정하다|한도|범위
license,면허|허가|자격증|번호판|라이센스
liberty,자유|리버티|해방|멋대로
leaf,잎|나뭇잎|리프|잎사귀
lamb,새끼양|램|양고기|어린 양
horizon,지평선|수평선
fence,울타리|담|펜싱|펜스|막다
feather,깃털|가벼운 것
fault,고장|잘못|결점|사고|단층
express,표현하다|나타내다|고속의|발표하다|급행
exit,출구|나가다|퇴출되다|종료하다
evil,사악한|악|나쁜|악마|해악
error,오차|오류|실수|에러|잘못
envelope,봉투
enemy,적|적군|원수|적국|적대자
duck,오리|덕|요강|회피하다
drum,드럼|북
bottom,바닥|아래|밑바닥|하위|최하의
bottle,병|병에 담다|술|용기|술병
bone,뼈|골격|유골
blood,혈액|피|혈통|혈연|유혈
blanket,담요|뒤덮다|전면적인|흥을 깨는|층(層)
birth,탄생|출생|태어남|출산|낳다
bike,자전거|오토바이
bee,벌
beauty,아름다움|미용의|미인|미|미녀
beast,비스트|야수|짐승|동물|괴물같은
bat,박쥐|배트|방망이|치다|타석
base,기반|기초|위치하다|…로 만든|기지
instead,대신에|보다|하지만|아닌|그렇기는커녕
if,…라면|만약|만일
ever,지금까지|이전에|항상|영원히|결코
even,평평해지다|균등해지다|백중해지다|같은
else,다른|더|아니면|그 밖에
during,…동안|…중에도|…사이에
below,아래에|…이하의|영하의
single,하나의|단일의|각각의|싱글|독신의
similar,비슷한|유사한|같은|흡사한|마찬가지
silent,침묵의|조용한|무성의|말 없는|고요한
shy,수줍은|부끄러운|꺼리는|내성적인|모자라는
short,짧은|단기의|단편|간단한|단거리
several,몇|여러|수|많은|일부
same,같은|똑같은|동일한|마찬가지로|다르지 않은
rude,무례한|거친
quick,빠른|빨리|신속한|급한|민첩한
private,민간의|개인의|사립의|사적인|사설의
perfect,완벽한|완전한|최적의|퍼펙트|이상적인
honest,정직한|솔직한|정당한|성실한
golden,황금의|골든|가장 좋은|절호의
giant,거대한|자이언트|거인|위대한
few,몇몇의|거의 없는|소수의|소수의 사람|약간의
dark,어두운|암흑|어둠|모르다|지다
correct,정확한|수정하다|맞다|올바른|옳은
cool,냉각|멋진|시원한|식히다|좋다
common,흔한|공통의|일반적인|공동의|흔히 볼 수 있는
comfortable,편안한|편한|편안함을 주는|쾌적한|안락한
uniform,유니폼|똑같은|일제히
truth,진실|사실|진리|진상|진심
trust,신뢰|믿음|신탁|기업합동|신용
trouble,문제|곤란|어려움|고통|말썽
tradition,전통|관습|전해지는
science,과학|사이언스|학문
refrigerator,냉장고|냉동기
race,경주|인종|경쟁|경기|선거전
progress,발전|진전|진보|진행|과정
lesson,교훈|수업|가르치다|단원
law,법|법칙|법률|법안|규정
kindness,친절|호의
kindergarten,유치원
justice,정의|사법|재판|판사|공정
junior,주니어|후배|3학년인|청소년|하급의
heaven,천국|하늘
freedom,자유|석방
form,형태|형성하다|형식|만들다|종류
fox,여우|폭스|매력적인
foreigner,외국인|관광객 |이방인|국외자|외인
floor,바닥|의원|층|마루|발언권
feeling,느낌|감정|기분|마음|감각
engineer,엔지니어|기술자|공학자|운영하다|공병
difference,차이|변화|다른점|차액|구별
culture,문화|배양|문명
crowd,군중|붐비다|관객|많음|혼잡
cost,비용|들다|가격|얼마이다|경비
clothes,옷|의복|의상|세탁물|옷가지
choice,선택|결정|선정|종류
chief,장관|최고의|추장|국장|주요한
century,세기|100년
butterfly,나비|접영|두근거리는|인간관계가 좋은 사람
bridge,교량|다리|브리지|육교|메우다
brain,뇌|두뇌|머리|브레인
bit,조금|약간
bar,바|술집|막대|판매대
each other,서로|상호
modesty,겸손|정숙함|소박함
moment,순간|지금|때|잠깐|기회
for a moment,잠깐 동안|당장 그때만|잠시 동안
for example,예를 들면|한 예|가령|예컨대
recruit,채용하다|모집하다|선발하다|신입사원|신병
fare,요금|운임|실적을 내다|상연물
