abate,"줄이다, 완화하다, 감소하다","subside, withdraw, drop"
abridge,"단축하다, 요약하다, 생략하다","shorten, cut, reduce, condense"
abstemious,"절제하는, 금욕적인",sparing
abstract,"추상적인, 관념적인","generalized, simplified"
abstruse,"난해한, 심오한","difficult, hard"
accessible,"접근할 수 있는, 얻기 쉬운","available, reachable, obtainable"
acclaim (n),"갈채, 환호, 칭찬","praise, applause"
acclaim (v),"갈채하다, 환호하다","hail, praise, applaud"
accolade,"명예, 칭찬, 경의",praise
acknowledge,"인정하다, 자인하다","recognize, admit"
acquiesce,"묵인하다, 마지못해 따르다","submit, approve, go along with, offer no resistance"
acrid,"매운, 쓴, 신랄한","sharp, bitter, harsh, penetrating"
acrimonious,"신랄한, 독살스러운","bitter, biting, sharp, nasty, acid"
acute,"격렬한, 날카로운","sharp, intense, keen, profound, pointed"
adulation,"추종, 아첨","flattery, praise, applause"
adversary,"적, 상대편","enemy, foe, opposition"
adversity,"불운, 역경, 재난","difficulty, opposition, persecution"
aesthetic (adj),"미의, 미학의, 심미적인",beautiful
aesthetic (n),"미의식, 미학","beauty, taste"
affable,"붙임성 있는, 정중한","friendly, nice, personable"
affectation,"가장, 뽐냄","pretension, act, ruse, masquerade"
affirmation,"확언, 단언, 긍정","assertion, statement"
aggregate,"집합(체), 총액","assemblage, composite"
alleviate,"(고통을) 완화시키다, 경감하다","relieve, lessen, reduce, assuage"
aloof,"냉담한, 무관심한","unconcerned, indifferent"
altruistic,이타적인,"unselfish, generous"
amass,"쌓다, 모으다","gather, assemble, collect"
ambiguous,"두 가지 이상의 뜻이 있는, 모호한","vague, uncertain, indeterminate"
ambivalence,"상반되는 감정, 양면 가치, 주저","indecisiveness, uncertainty"
ambivalent,"상반되는 감정을 가진, 양면 가치적인","indecisive, uncertain, uncommitted"
ambulatory,"보행의, 걸어다니는","walking, mobile"
ameliorate,"개선하다, 좋아지다","improve, alleviate"
amiable,"붙임성 있는, 호감을 주는","likable, friendly"
amity,"우호, 친선","friendship, comradeship"
amorphous,"무정형의, 특성이 없는","shapeless, undefined"
ample,"광대한, 넓은, 충분한","abundant, plentiful, profuse, substantial, adequate, enough"
anachronistic,"시대에 맞지 않는, 시대 착오의","outdated, old-fashioned"
analogous,"유사한, 닮은","comparable, similar"
anarchist,"무정부주의자, 반체제 반역자",anti-authoritarian
anarchy,"무정부 상태, 혼란, 무질서","chaos, riot"
anecdote,"일화, 비화","story, report"
animated,"생기가 있는, 활기가 넘치는","lively, vigorous"
animosity,"원한, 증오, 적개심","hostility, opposition, enmity"
anomaly,"변칙, 이례","deviation, oddity"
anonymous,"작자 불명의, 익명의","nameless, unidentified"
antagonism,"반대, 적개심, 반작용","opposition, enmity"
antediluvian,"노아의 홍수 이전의, 구시대적인","ancient, antique, prehistoric"
antidote,"해독제, 해결 방법","remedy, cure, countermeasure"
antipathy,"반감, 혐오, 싫은 일","dislike, hatred"
antiquated,"낡은, 시대에 뒤진","old-fashioned, antique, outdated, ancient"
anxiety,"걱정, 불안, 염원","nervousness, edginess"
apathy,"무감동, 무감정, 냉담, 무관심","indifference, unconcern"
apocryphal,"저작자가  의심스러운, 가짜의","invented, unverifiable, untrue, mythical"
appease,"달래다, 가라 앉히다, 만족시키다","soothe, calm"
apprehension,"우려, 염려, 불안","unease, worry, fretfulness"
apprehensive,"우려하는, 염려하는","uneasy, worried, fretful"
arable,"경작할 수 있는, 경작에 알맞은","farmable, fertile"
arbitrary,"제멋대로인, 독단적인","capricious, irrational, random"
archaic,"고풍의, 고대의","antiquated, old, outdated"
ardent,"열렬한, 열심인, 격렬한","passionate, eager, emotional"
arid,"건조한, 불모의","barren, desert, dry, parched, boring, dull, tedious"
